"community_name","community_other_price","community_other_num","community_other_floor","community_other_area","community_average_price","community_average_area","community_average_floor","community_average_AreaPrice","business_district","business_district_sales_num","business_district_other_price","business_district_other_num","business_district_other_floor","business_district_other_area","business_district_average_price","business_district_average_area","business_district_average_floor","business_district_average_AreaPrice"
"保俶路",3750,2,14,16.82,1875,8.41,7,222.94887039239,"武林门",10,20350,10,67,107.94,2035,10.794,6.7,188.530665184362
"麒麟街小区",1490,1,7,6,1490,6,7,248.333333333333,"凤起路",29,59920,29,203,296.61,2066.20689655172,10.2279310344828,7,202.01611543778
"浦江颐城(公寓)",10730,5,39,82.8,2146,16.56,7.8,129.589371980676,"浦江镇",39,71399,39,211,612.91,1830.74358974359,15.715641025641,5.41025641025641,116.491817722015
"齐锦苑",2290,1,11,9.4,2290,9.4,11,243.617021276596,"杨高南路",35,79290,35,365,420.8,2265.42857142857,12.0228571428571,10.4285714285714,188.42680608365
"虹口嘉苑",7240,3,51,40.39,2413.33333333333,13.4633333333333,17,179.252290170834,"大柏树",38,89840,38,375,494.49,2364.21052631579,13.0128947368421,9.86842105263158,181.682137151409
"象屿郦庭",4490,2,26,28.58,2245,14.29,13,157.102869139258,"殷高西路",82,171730,82,1235,1007.38,2094.26829268293,12.2851219512195,15.0609756097561,170.47191725069
"和泰花园",2330,1,16,9.7,2330,9.7,16,240.20618556701,"中山北路",35,90229,35,629,445.07,2577.97142857143,12.7162857142857,17.9714285714286,202.729907654976
"西凌新邨",2290,1,7,8,2290,8,7,286.25,"西藏南路",38,128000,38,900,476.5,3368.42105263158,12.5394736842105,23.6842105263158,268.625393494229
"新润花苑",2230,1,5,36.6,2230,36.6,5,60.9289617486339,"华夏东路",104,169579,104,749,1398.12,1630.56730769231,13.4434615384615,7.20192307692308,121.290733270392
"成山小区",2430,1,6,13.8,2430,13.8,6,176.086956521739,"东明路",19,42300,19,133,213.63,2226.31578947368,11.2436842105263,7,198.005898048027
"东兰兴城(东兰新村)",4290,2,12,21.6,2145,10.8,6,198.611111111111,"东兰路",55,132078,55,536,749.09,2401.41818181818,13.6198181818182,9.74545454545455,176.317932424675
"宜嘉苑",8550,4,24,63.1,2137.5,15.775,6,135.499207606973,"杨高北路",41,86259,41,285,572.41,2103.87804878049,13.9612195121951,6.95121951219512,150.694432312503
"一品新筑苑",4380,2,32,25.97,2190,12.985,16,168.656141701964,"江湾镇",53,126477,53,507,755.17,2386.35849056604,14.2484905660377,9.56603773584906,167.481494233087
"阳光前景",10170,3,96,38.71,3390,12.9033333333333,32,262.722810643245,"国际客运中心",12,37529,12,306,180.18,3127.41666666667,15.015,25.5,208.286158286158
"岭南苑(凌兆路127弄)",2590,1,6,15,2590,15,6,172.666666666667,"凌兆新村",9,20200,9,54,112.2,2244.44444444444,12.4666666666667,6,180.035650623886
"国权北路413弄",2290,1,6,15.34,2290,15.34,6,149.282920469361,"殷高西路",82,171730,82,1235,1007.38,2094.26829268293,12.2851219512195,15.0609756097561,170.47191725069
"三花现代城(三期金兰苑)",2230,1,18,12.6,2230,12.6,18,176.984126984127,"殷高西路",82,171730,82,1235,1007.38,2094.26829268293,12.2851219512195,15.0609756097561,170.47191725069
"小上海新城",4740,3,39,35.1,1580,11.7,13,135.042735042735,"",8713,14460147,8713,169016,100511.62,1659.60599104786,11.5358223344428,19.398140709285,143.865425708988
"宏伟阁",2160,1,20,8.2,2160,8.2,20,263.414634146341,"龙漕路",14,33299,14,141,161.3,2378.5,11.5214285714286,10.0714285714286,206.441413515189
"国和二村",4680,2,12,26.5,2340,13.25,6,176.603773584906,"市光路",15,36970,15,293,199.2,2464.66666666667,13.28,19.5333333333333,185.592369477912
"齐宏苑",2030,1,13,9.2,2030,9.2,13,220.652173913043,"杨高南路",35,79290,35,365,420.8,2265.42857142857,12.0228571428571,10.4285714285714,188.42680608365
"海枫大楼",2130,1,18,13.1,2130,13.1,18,162.595419847328,"大柏树",38,89840,38,375,494.49,2364.21052631579,13.0128947368421,9.86842105263158,181.682137151409
"东方康安家园",1860,1,28,12,1860,12,28,155,"芦恒路",19,34850,19,346,244.23,1834.21052631579,12.8542105263158,18.2105263157895,142.693362813741
"国定路700弄",2130,1,6,7.7,2130,7.7,6,276.623376623377,"三门路",13,32430,13,95,158.5,2494.61538461538,12.1923076923077,7.30769230769231,204.605678233438
"崮山小区四街坊",4120,2,12,21.8,2060,10.9,6,188.990825688073,"德平路",36,78779,36,269,421.3,2188.30555555556,11.7027777777778,7.47222222222222,186.990268217422
"东方花园三期",1890,1,8,9,1890,9,8,210,"七莘路",38,77140,38,371,511.66,2030,13.4647368421053,9.76315789473684,150.764179337842
"逸仙路1321弄",1960,1,6,9.5,1960,9.5,6,206.315789473684,"殷高西路",82,171730,82,1235,1007.38,2094.26829268293,12.2851219512195,15.0609756097561,170.47191725069
"巴黎之春",24140,10,150,148,2414,14.8,15,163.108108108108,"上海西站",70,159056,70,887,921.26,2272.22857142857,13.1608571428571,12.6714285714286,172.650500401624
"江杨名苑",3980,2,12,24,1990,12,6,165.833333333333,"江湾镇",53,126477,53,507,755.17,2386.35849056604,14.2484905660377,9.56603773584906,167.481494233087
"大上海国际花园十区",1960,1,6,8,1960,8,6,245,"合川路",29,73020,29,205,359.97,2517.93103448276,12.4127586206897,7.06896551724138,202.850237519793
"意凯家苑",4680,2,24,19,2340,9.5,12,246.315789473684,"三林",33,68780,33,448,376.43,2084.24242424242,11.4069696969697,13.5757575757576,182.716574130648
"好世鹿鸣苑",1760,1,17,11.6,1760,11.6,17,151.724137931034,"莘庄",104,209717,104,1271,1265.01,2016.50961538462,12.1635576923077,12.2211538461538,165.782879186726
"金桂苑(浦东)",1690,1,19,10,1690,10,19,169,"三林东",56,108050,56,625,617.9,1929.46428571429,11.0339285714286,11.1607142857143,174.866483249717
"和憬家园",10050,6,84,84.8,1675,14.1333333333333,14,118.514150943396,"华夏东路",104,169579,104,749,1398.12,1630.56730769231,13.4434615384615,7.20192307692308,121.290733270392
"御景华庭",7420,4,72,57.7,1855,14.425,18,128.596187175043,"华夏东路",104,169579,104,749,1398.12,1630.56730769231,13.4434615384615,7.20192307692308,121.290733270392
"华江景城",7170,4,86,48.63,1792.5,12.1575,21.5,147.439851943245,"桃浦新村",102,187330,102,1357,1224.02,1836.56862745098,12.0001960784314,13.3039215686275,153.044884887502
"毕加索小镇(一期)(公寓)",5920,3,24,38.3,1973.33333333333,12.7666666666667,8,154.569190600522,"唐镇",51,98490,51,441,687.35,1931.17647058824,13.4774509803922,8.64705882352941,143.289444969812
"闵浦新苑六村",3020,2,12,25.8,1510,12.9,6,117.054263565891,"三鲁公路",13,17470,13,143,149.66,1343.84615384615,11.5123076923077,11,116.731257517039
"万寿新村(青浦)",3050,2,12,60.5,1525,30.25,6,50.4132231404959,"漕盈路",33,46510,33,328,456,1409.39393939394,13.8181818181818,9.93939393939394,101.995614035088
"星金家园",6740,4,72,45.75,1685,11.4375,18,147.322404371585,"曹路",67,108460,67,1099,745.63,1618.80597014925,11.1288059701493,16.4029850746269,145.460885425747
"中泰公寓",10340,3,60,47.2,3446.66666666667,15.7333333333333,20,219.067796610169,"新闸路",7,24870,7,184,112,3552.85714285714,16,26.2857142857143,222.053571428571
"盛逸公寓",3790,1,16,13.53,3790,13.53,16,280.118255728012,"塘桥",44,127840,44,871,533.39,2905.45454545455,12.1225,19.7954545454545,239.674534580701
"西雅图嘉萱苑",6280,2,48,27,3140,13.5,24,232.592592592593,"漕宝路",38,109470,38,610,481.7,2880.78947368421,12.6763157894737,16.0526315789474,227.257629229811
"凯旋华庭",7060,1,25,11.7,7060,11.7,25,603.418803418803,"上海西站",70,159056,70,887,921.26,2272.22857142857,13.1608571428571,12.6714285714286,172.650500401624
"金祥苑",3290,1,6,14.4,3290,14.4,6,228.472222222222,"桂林路",35,101680,35,394,446.19,2905.14285714286,12.7482857142857,11.2571428571429,227.884981734239
"伊犁小区",6390,2,10,22.2,3195,11.1,5,287.837837837838,"伊犁路",14,39110,14,107,178,2793.57142857143,12.7142857142857,7.64285714285714,219.719101123595
"新华苑",5760,2,48,23.1,2880,11.55,24,249.350649350649,"虹桥路",38,116480,38,712,454.81,3065.26315789474,11.9686842105263,18.7368421052632,256.106945757569
"绿洲湖畔花园",3090,1,27,15.72,3090,15.72,27,196.564885496183,"真北路",25,63520,25,257,327.16,2540.8,13.0864,10.28,194.155764763419
"崂山二村",2660,1,6,10.6,2660,10.6,6,250.943396226415,"浦东大道",19,49357,19,214,240.3,2597.73684210526,12.6473684210526,11.2631578947368,205.397419891802
"凤凰家园",2790,1,12,23.7,2790,23.7,12,117.721518987342,"芳华路",83,179850,83,656,1122.98,2166.86746987952,13.5298795180723,7.90361445783132,160.154232488557
"东园二村",3460,1,7,15.2,3460,15.2,7,227.631578947368,"东昌路",14,42400,14,83,166.8,3028.57142857143,11.9142857142857,5.92857142857143,254.196642685851
"建设新苑",8110,3,24,41.6,2703.33333333333,13.8666666666667,8,194.951923076923,"爱国路",11,25299,11,187,130.34,2299.90909090909,11.8490909090909,17,194.100046033451
"华安公寓(浦东)",4780,2,14,35,2390,17.5,7,136.571428571429,"芳华路",83,179850,83,656,1122.98,2166.86746987952,13.5298795180723,7.90361445783132,160.154232488557
"星海大厦",3360,1,24,11.2,3360,11.2,24,300,"江宁路地铁站",22,71430,22,491,315.64,3246.81818181818,14.3472727272727,22.3181818181818,226.302116335065
"番禺路222弄11支弄",3090,1,7,13.36,3090,13.36,7,231.287425149701,"交通大学",13,40400,13,282,164.99,3107.69230769231,12.6915384615385,21.6923076923077,244.863325050003
"嘉海雅苑",1490,1,21,12.5,1490,12.5,21,119.2,"",8713,14460147,8713,169016,100511.62,1659.60599104786,11.5358223344428,19.398140709285,143.865425708988
"富锦苑",2790,2,12,26.2,1395,13.1,6,106.488549618321,"江杨北路",46,68860,46,768,551.3,1496.95652173913,11.9847826086957,16.695652173913,124.904770542354
"月浦六村",990,1,6,6.6,990,6.6,6,150,"江杨北路",46,68860,46,768,551.3,1496.95652173913,11.9847826086957,16.695652173913,124.904770542354
"鲁陈路3955弄",1430,1,6,14.3,1430,14.3,6,100,"浦江镇",39,71399,39,211,612.91,1830.74358974359,15.715641025641,5.41025641025641,116.491817722015
"汇延路59弄",1390,1,15,16.5,1390,16.5,15,84.2424242424242,"汇臻路",33,37960,33,591,367.34,1150.30303030303,11.1315151515152,17.9090909090909,103.337507486253
"菊泉小区",1230,1,6,13.2,1230,13.2,6,93.1818181818182,"顾村公园",51,71450,51,672,581.9,1400.98039215686,11.4098039215686,13.1764705882353,122.78742051899
"绿地璀璨天城",2780,2,48,25.93,1390,12.965,24,107.211723871963,"文井路",16,18700,16,356,150.76,1168.75,9.4225,22.25,124.038206420801
"天房美域豪庭",1160,1,30,16.3,1160,16.3,30,71.1656441717791,"肿瘤医院",18,25750,18,200,245.04,1430.55555555556,13.6133333333333,11.1111111111111,105.084884100555
"华城领秀睦华里",4980,3,58,41.65,1660,13.8833333333333,19.3333333333333,119.567827130852,"人民医院",21,31170,21,198,289.62,1484.28571428571,13.7914285714286,9.42857142857143,107.623782887922
"华荟明苑",4720,3,18,48.5,1573.33333333333,16.1666666666667,6,97.319587628866,"洛溪",48,63320,48,317,523.4,1319.16666666667,10.9041666666667,6.60416666666667,120.978219335117
"新世界逸彩庭园E区",1590,1,20,10,1590,10,20,159,"滘口",41,63930,41,1081,439.95,1559.26829268293,10.730487804878,26.3658536585366,145.311967269008
"东山领汇广场",10140,4,143,41,2535,10.25,35.75,247.317073170732,"杨箕",30,71170,30,1012,279.64,2372.33333333333,9.32133333333333,33.7333333333333,254.505793162638
