"community_name","business_district","all_num_business_district","all_num_community","business_district_average_price","community_average_price","community_sales_num","exbination_and_adjustment_ave_exhibition_period","price_adjustment_num","price_adjustment_average"
"首城国际D区","平乐园",126,7,4877.21428571429,5484.28571428571,3,5.72122746364741,2,200
"延静里中街","金台路",271,14,4431.0184501845,4357.14285714286,4,2.94186994504479,1,130
"小营干休所","永泰庄",463,3,3299.79049676026,3170,1,2.01081345534251,1,340
"金港国际","九龙山",108,28,5236.17592592593,5373.17857142857,9,4.31762888560012,1,270
"巧克力城","小红门",32,13,2311.5625,2518.46153846154,2,1.99958063073817,1,600
"绿林苑","新宫",207,19,3061.29468599034,2256.84210526316,8,5.84470954880438,2,65
"长丰园一区","",17337,29,2055.19659648111,1775.1724137931,10,5.0054460741177,1,60
"碧水湾西园","胜太西路",125,6,1596.48,1431.66666666667,2,1.37969241438273,1,300
"玉兰小区","大明路",58,8,1896.72413793103,3158.75,4,4.50235618937968,1,830
"招商雍和府","高庙路站",29,17,2576.55172413793,2250,7,3.64020886875527,1,270
"南航揽翠苑","",17337,11,2055.19659648111,1617.27272727273,4,3.83272457784199,1,200
"复地宴南都","大明路",58,35,1896.72413793103,2149.42857142857,8,0.199956421455378,1,130
"钟山晶典苑","金马路",43,19,1289.53488372093,1292.10526315789,6,2.84211979047379,2,100
"山水人家彩云天","丰潭路",204,2,2105.63725490196,2610,1,4.49802884928192,1,460
"锁金村4号","岗子村站",11,2,2251.81818181818,1725,1,11.5037506070664,1,70
"苏宁睿城","集庆门大街站",103,13,2003.00970873786,2046.15384615385,3,2.76718349396843,1,370
"朗郡庭园","",17337,7,2055.19659648111,1750,4,5.29959307001224,1,70
"风景大院","",17337,3,2055.19659648111,1703.33333333333,1,6.6680287880055,1,100
"和新南苑","",17337,4,2055.19659648111,1842.5,1,0.9996579499591,1,100
"温兴风情苑","滨康路",197,10,2071.97969543147,1831,3,0.500751302706147,1,240
"东海水景城","南苑",317,5,1114.41640378549,1072,2,1.19951498819722,1,200
"都市水乡水映苑","三墩",355,13,1453.91549295775,1484.61538461538,3,3.53727377725951,2,165
"稻香园高层公寓","沈塘桥",227,2,2542.29074889868,2190,1,12.4940484030903,1,170
"三卫家园北苑","乔司南",114,46,1191.40350877193,1151.52173913043,3,0.739340719098522,2,235
"长宁馥邦苑","北新泾",80,1,3599,2590,1,5.9604281978116,1,440
"下沙文汇苑","文泽路",98,12,1835.20408163265,1903.33333333333,2,1.25062882053539,1,160
"铭雅苑东区","金家渡",151,41,1625.76158940397,1426.09756097561,9,1.63419782240331,1,500
"龙柏三村","龙柏新村",153,11,2691.88888888889,2565.45454545455,1,0.54191600159513,1,270
"华丽家园","春申路",90,5,2461,2066,3,4.19414117158618,2,235
"宝虹公寓","龙柏新村",153,1,2691.88888888889,2290,1,20.0026166071991,1,240
"正文花园(二期)","江湾镇",128,3,2959.5859375,2813.33333333333,2,7.65624066369953,1,200
"绿地卡米公社","嘉定新城",111,5,2149,3286,3,6.9932529581432,1,640
"绿地崴廉公寓","金京路",132,9,2122.18939393939,2923.33333333333,3,2.10721244674866,2,305
"恒盛鼎城华公馆","李子园",101,7,2704.05940594059,2030,2,2.57469755073901,2,250
"佳宝新村","七宝",165,11,2667.92121212121,4064.54545454545,4,2.36561899654166,1,340
"金樟花苑","云山路",85,4,2782.35294117647,2560,2,7.00218006648744,1,60
"华高一村","金京路",132,12,2122.18939393939,2253.33333333333,4,0.83265748490039,1,100
"翰城国际","华夏西路",3,2,1983.33333333333,1930,1,2.99752941421889,1,200
"上大阳光乾静园","上大路",97,5,1994.73195876289,2278,2,4.20226416082846,1,500
"新芳邻","顾唐路",34,3,2218.52941176471,1990,2,5.99760201443769,1,100
"新浦江城(浦驰路1336弄)","浦江镇",53,7,2051.30188679245,1967.14285714286,1,0.856274692115014,1,270
"阳光城市家园","金京路",132,9,2122.18939393939,2473.33333333333,3,0.998407247024186,1,200
"大华锦绣华城(二街区)","杨高南路",126,12,2768.33333333333,2581.66666666667,2,0.667281600808104,1,260
"同馨苑","",17337,6,2055.19659648111,1720,3,4.33813244360557,1,160
"唐人苑","唐镇",165,3,2359.0303030303,1803.33333333333,1,1.33230150606897,1,230
"众众家园南苑","莘庄",211,1,2428.12857142857,1730,1,6.00465385260405,1,100
"宜嘉苑","杨高北路",97,14,2193.18556701031,2002.85714285714,1,0.999924380618428,1,170
"玉兰香苑(一期)","广兰路",267,29,2650.67041198502,2200.68965517241,1,0.206993787395048,1,170
"锦绣华都","罗山路",22,20,2239.54545454545,2126,3,1.10054913617077,1,200
"证大家园(公寓)","杨高北路",97,19,2193.18556701031,2586.84210526316,5,1.36832769568944,1,160
"崇文路1855号","嘉定新城",111,10,2149,2128,7,3.30121286992729,3,746.666666666667
"风度国际","紫藤路",62,1,2805.29032258065,15000,1,23.0019924529752,1,2260
"沧州大楼","南京西路",15,1,7688.6,329,1,7.99781006215347,1,7831
"玉兰花苑","上海体育馆",69,3,5249.39130434783,4923.33333333333,1,7.33178194850683,1,1000
"圣天地酒店式公寓","江宁路地铁站",48,5,4190.625,5832,3,5.18960534298862,1,170
"沪贵苑","徐家汇",87,1,6248.96551724138,2860,1,16.9971178157407,1,500
