"community_name" "community_other_price" "community_other_num" "community_other_floor" "community_other_area" "community_average_price" "community_average_area" "community_average_floor" "community_average_AreaPrice" "business_district" "business_district_sales_num" "business_district_other_price" "business_district_other_num" "business_district_other_floor" "business_district_other_area" "business_district_average_price" "business_district_average_area" "business_district_average_floor" "business_district_average_AreaPrice"
"172" "中航樾府" 12110 8 122 95.16 1513.75 11.895 15.25 127.259352669189 "天元西路" 35 48160 35 364 450.06 1376 12.8588571428571 10.4 107.007954494956
"173" "爱涛翠湖花园" 17430 12 115 195.9 1452.5 16.325 9.58333333333333 88.9739663093415 "" 5904 10076530 5904 115186 68278.74 1706.72933604336 11.5648272357724 19.5098238482385 147.57931971211
"174" "孝陵卫179号" 4710 3 15 37.8 1570 12.6 5 124.603174603175 "孝陵卫" 27 38790 27 181 314.4 1436.66666666667 11.6444444444444 6.7037037037037 123.37786259542
"175" "中粮彩云居" 4640 3 33 32.5 1546.66666666667 10.8333333333333 11 142.769230769231 "东大九龙湖校区" 13 18460 13 269 137.3 1420 10.5615384615385 20.6923076923077 134.450109249818
"176" "仙龙湾山庄" 11840 7 42 93.2 1691.42857142857 13.3142857142857 6 127.038626609442 "仙鹤门" 62 88950 62 632 656.1 1434.67741935484 10.5822580645161 10.1935483870968 135.573845450389
"177" "逸仙名居" 4390 2 48 24.2 2195 12.1 24 181.404958677686 "西安门" 19 34530 19 217 228.32 1817.36842105263 12.0168421052632 11.4210526315789 151.235108619481
"178" "新安天苑" 31090 19 432 214.9 1636.31578947368 11.3105263157895 22.7368421052632 144.671940437413 "" 5904 10076530 5904 115186 68278.74 1706.72933604336 11.5648272357724 19.5098238482385 147.57931971211
"179" "长江小区" 5750 3 18 41.7 1916.66666666667 13.9 6 137.8896882494 "" 5904 10076530 5904 115186 68278.74 1706.72933604336 11.5648272357724 19.5098238482385 147.57931971211
"180" "龙湖武林九里" 43070 32 488 370.3 1345.9375 11.571875 15.25 116.311099108831 "" 5904 10076530 5904 115186 68278.74 1706.72933604336 11.5648272357724 19.5098238482385 147.57931971211
"181" "首开武林8栋" 92250 56 652 677.49 1647.32142857143 12.0980357142857 11.6428571428571 136.164371429837 "" 5904 10076530 5904 115186 68278.74 1706.72933604336 11.5648272357724 19.5098238482385 147.57931971211
"182" "雍荣华庭" 35700 24 685 224.11 1487.5 9.33791666666667 28.5416666666667 159.296773905671 "三墩" 109 158230 109 2650 1119.24 1451.65137614679 10.2682568807339 24.3119266055046 141.372717200958
"183" "首开国风美域" 11930 9 282 84.52 1325.55555555556 9.39111111111111 31.3333333333333 141.150023663038 "三墩" 109 158230 109 2650 1119.24 1451.65137614679 10.2682568807339 24.3119266055046 141.372717200958
